CitationKey,Study,Modality,Geographic_Region,Year,Location,Population,Study method,Sample size (N),QA,Len_n,Len_M,Len_SD,Len_SE,Wid_n,Wid_M,Wid_SD,Wid_SE,Thick_n,Thick_M,Thick_SD,Thick_SE,Vol_n,Vol_M,Vol_SD,Vol_SE,VolSex_Male N,VolSex_Male M,VolSex_Male SD,VolSex_Male SE,VolSex_Female N,VolSex_Female M,VolSex_Female SD,VolSex_Female SE,ArtDiam_n,ArtDiam_M,ArtDiam_SD,ArtDiam_SE,Branches_N,Branches_1,Branches_2,Branches_3,Branches_4,Branches_5,Branches_6,Branches_Other
laleye_2021,"Laleye, C.M. et al. (2021)",MRI,Africa,2021,"Cotonou, Benin","People aged 13 to 87 years, average age 51.44±16.35 years",MRI,200,MEDIUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
li_2004,"Li, P.S. et al. (2004)",Ultrasound,Asia,2004,"Hong Kong, China",Adults aged from 30 to 59 years (average age – 44.5 years),Ultrasound,43,LOW,43,9.58,1.22,0.186048256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
linguraru_2013,"Linguraru, M. G. et al. (2013)",CT,North America,2013,"Washington, USA","♂ – 115, ages 17-76, avg age 45.5. ♀ – 57, ages 18-74, avg age 47.5",CT,172,MEDIUM,,,,,,,,,,,,,45,236.89,77.58,11.56494358,,,,,,,,,,,,,,,,,,,,
loftus_1999,"Loftus, W.K. et al. (1999)",Cadaveric,Oceania,1999,South Australia,"People aged 30 to 86 years, average age 65 ± 16.5 years. ♂ – 17, ♀ – 13",Cadaver study,30,LOW,,,,,,,,,,,,,30,110,70,12.78019301,,,,,,,,,,,,,,,,,,,,
londhe_2013,"Londhe, R.L. (2013)",Corrosion Casting,Asia,2013,"Karnataka, India",,Corrosion casting,50,LOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,45,5,,,,
malnar_2010,"Malnar, D. et al. (2010)",Cadaveric,Europe,2010,"Rijeka, Croatia",People aged 35 to 70 years,Cadaver study,90,LOW,,,,,,,,,,,,,,,,,,,,,,,,,90,6.1,0.5,0.052704628,,,,,,,,
meet_2017,"Meet, K. et al. (2017)",Cadaveric,Asia,2017,"Jakarta, Indonesia","♂ – 11, ♀ – 4",Cadaver study,15,LOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
michalinos_2016,"Michalinos, A. et al. (2016)",Cadaveric,Europe,2016,"Athens, Greece","Caucasians, average age 65.9±21.4 years. ♂ – 34, ♀ – 16",Cadaver study,50,MEDIUM,50,11.69,2.1,0.296984848,50,7.54,1.6,0.22627417,50,4.2,1.3,0.183847763,,,,,,,,,,,,,50,6.44,1.4,0.197989899,,,,,,,,
mikhail_1979,"Mikhail, Y. et al. (1979)",Cadaveric,Africa,1979,"Cairo, Egypt",,Cadaver study,25,LOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,19,6,,,,
mohammadi_2016,"Mohammadi, S. et al. (2016)",Cadaveric,Asia,2016,"Mashhad, Iran","♂ – 541, ♀ – 152. Average age 40.28 ± 20.97 years.",Cadaver study,693,MEDIUM,693,11.32,3.1,0.117759262,693,8.05,2.35,0.089269118,693,2.01,0.9,0.034188173,,,,,,,,,,,,,,,,,,,,,,,,
muhammad_2023,"Muhammad, F.S et al. (2023)",Ultrasound,Asia,2023,"Lahore, Pakistan","100 pregnant and 100 nonpregnant women, mean age 29 ± 7.8 years.",Ultrasound,200,MEDIUM,200,9.76,1.42,0.098994949,200,5.15,1.42,0.15,200,4.46,1.1,0.077781746,200,148.5,82.3,5.819488809,,,,,,,,,,,,,,,,,,,,
osman_2016,"Osman, A.M. et al. (2016)",CT,Africa,2016,"Cairo, Egypt",,CT,1000,LOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pandey_2004,"Pandey, S.K. et al. (2004)",Cadaveric,Asia,2004,"Varanasi, India","♂ – 264, ♀ – 56",Cadaver study,320,LOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pinal-garcia_2018,"Pinal-Garcia, D.F. et al. (2018)",Cadaveric,North America,2018,Mexico,"People aged from 18 to 79 years old, with an average age of 48.8 years. ♂ – 121, ♀ – 19",Cadaver study,140,MEDIUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prassopoulos_1997,"Prassopoulos, P. et al. (1997)",CT,Europe,1997,"Heraklion, Greece","People aged 20 and older. ♂ – 73, ♀ – 67",CT,140,MEDIUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
russkikh_2022,"Russkikh, A.N. (2022)",CT,Europe,2022,"Krasnoyarsk, Russia","53 men, average age 54.9 years, range 36 to 71 years",3D models of portal system based on multislice contrast CT,53,LOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sahni_2003,"Sahni, A.D. et al. (2003)",Cadaveric,Asia,2003,"Chandigarh, India","People aged 18 to 80 years. ♂ – 156, ♀ – 44",Cadaver study,200,MEDIUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
saldarriaga_2023,"Saldarriaga, B. et al. (2023)",Cadaveric,South America,2023,"Bucaramanga, Colombia",Mixed race men aged 20-65,Cadaver study,26,MEDIUM,,,,,,,,,,,,,,,,,,,,,,,,,26,5.9,1,0.196116135,,,,,,,,
shwetha_2021,"Shwetha, K. et al. (2021)",Cadaveric,Asia,2021,"Karnataka, India",Population of Mysore,Cadaver study,79,MEDIUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,,56,19,4,,,4
silveira_2009,"Silveira, L.A. et al. (2009)",Cadaveric,South America,2009,"Sao Paulo, Brazil",♂ – 21,Cadaver study,21,LOW,,,,,,,,,,,,,,,,,,,,,,,,,30,5.3,0.3,0.054772256,,,,,,,,
